COUNT_DATE,VolumeLeg,LegDir,Street2,Location,TOTAL (Cars/Day),Lat,Lng
2008-04-29,Mclaughlin Av,N of,Bacchus Dr,Mclaughlin Av - N of  Bacchus Dr,21821,37.325059,-121.846167
2006-06-12,Branham Ln,E of,Snell Av,Branham Ln - E of  Snell Av,21810,37.265987,-121.830666
2006-03-29,Trade Zone Bl,E of,Lundy Av,Trade Zone Bl - E of  Lundy Av,21760,37.403277,-121.890125
2010-05-19,Bird Av,N of,Virginia St,Bird Av - N of  Virginia St,21716,37.320525,-121.897577
2010-06-03,Branham Ln,E of,Almaden Expy,Branham Ln - E of  Almaden Expy,21645,37.263248,-121.875687
2010-06-02,Yerba Buena Rd,W of,Silver Creek Valley Rd,Yerba Buena Rd - W of  Silver Creek Valley Rd,21568,37.294874,-121.787291
2009-04-14,Bernal Rd,W of,San Ignacio Av,Bernal Rd - W of  San Ignacio Av,21480,37.232244,-121.772302
2005-07-21,Almaden Ex,S of,Alma Av,Almaden Ex - S of  Alma Av,21470,37.312812,-121.878511
2005-04-25,Meridian Av,S of,Dentwood Dr,Meridian Av - S of  Dentwood Dr,21461,37.248941,-121.894524
2005-05-03,Union Av,S of,Carlton Av,Union Av - S of  Carlton Av,21438,37.248117,-121.931278
2006-02-28,Santa Teresa Bl,W of,Camino Verde Dr,Santa Teresa Bl - W of  Camino Verde Dr,21303,37.237007,-121.801685
2010-06-02,Mclaughlin Av,S of,Tully Rd,Mclaughlin Av - S of  Tully Rd,21277,37.314641,-121.835999
2006-01-24,Santa Clara St,E of,Market St,Santa Clara St - E of  Market St,21060,37.335595,-121.891777
2006-02-07,Seventh St,S of,Margaret Wy,Seventh St - S of  Margaret Wy,21005,37.328231,-121.876024
2008-04-29,Mclaughlin Av,S of,Bacchus Dr,Mclaughlin Av - S of  Bacchus Dr,20977,37.324335,-121.845461
2009-02-10,First St,N of,Archer St,First St - N of  Archer St,20970,37.365131,-121.912161
2005-02-28,Quito Rd,N of,Bucknall Rd,Quito Rd - N of  Bucknall Rd,20713,37.283979,-121.994422
2005-02-03,Tenth St,N of,Martha St,Tenth St - N of  Martha St,20691,37.327381,-121.871124
2009-03-10,Market St,N of,Devine St,Market St - N of  Devine St,20680,37.339278,-121.894896
2005-01-31,King Rd,S of,Waverly Av,King Rd - S of  Waverly Av,20670,37.325611,-121.829096
2008-09-29,Capitol Av,S of,Penitencia Creek Rd,Capitol Av - S of  Penitencia Creek Rd,20610,37.382617,-121.85619
2006-03-29,Trade Zone Bl,W of,Lundy Av,Trade Zone Bl - W of  Lundy Av,20610,37.40336,-121.891159
2010-05-26,Camden Av,S of,Lencar Wy,Camden Av - S of  Lencar Wy,20529,37.255864,-121.914989
2010-05-20,Stevens Creek Bl,W of,Bascom Av,Stevens Creek Bl - W of  Bascom Av,20418,37.323388,-121.932587
2006-01-24,Santa Clara St,E of,Tenth St,Santa Clara St - E of  Tenth St,20200,37.340866,-121.880673
2006-02-06,Seventh St,N of,Virginia St,Seventh St - N of  Virginia St,20173,37.327301,-121.875336
2006-08-24,Story Rd,E of,Mccreery Av,Story Rd - E of  Mccreery Av,20070,37.342004,-121.840001
2009-02-19,Taylor St,W of,Miller St,Taylor St - W of  Miller St,19980,37.348337,-121.901786
2005-02-28,Quito Rd,S of,Bucknall Rd,Quito Rd - S of  Bucknall Rd,19896,37.282926,-121.994379
2005-07-28,Santa Clara St,W of,Fourth St,Santa Clara St - W of  Fourth St,19840,37.337539,-121.887682
2006-03-20,Lincoln Av,S of,Coe Av,Lincoln Av - S of  Coe Av,19809,37.312239,-121.903794
2009-03-11,Union Av,N of,Lantz Av,Union Av - N of  Lantz Av,19710,37.272183,-121.93276
2006-01-31,Seventh St,S of,Margaret St,Seventh St - S of  Margaret St,19491,37.328475,-121.876203
2006-08-02,Yerba Buena Rd,W of,Yerba Buena Av,Yerba Buena Rd - W of  Yerba Buena Av,19010,37.297178,-121.777165
2008-07-28,Bollinger Rd,W of,Whiteoak Dr,Bollinger Rd - W of  Whiteoak Dr,18780,37.309995,-122.000014
2005-02-15,Old Bayshore Hy,W of,Tenth St,Old Bayshore Hy - W of  Tenth St,18734,37.367173,-121.900797
2006-01-31,Seventh St,N of,Margaret St,Seventh St - N of  Margaret St,18679,37.32877,-121.876423
2009-03-11,Union Av,N of,Camden Av,Union Av - N of  Camden Av,18510,37.262279,-121.931424
2006-03-20,Lincoln Av,N of,Coe Av,Lincoln Av - N of  Coe Av,18492,37.31259,-121.904104
2008-09-29,Capitol Av,N of,Baton Rouge Dr,Capitol Av - N of  Baton Rouge Dr,18460,37.376841,-121.849791
2010-05-18,Berryessa Rd,E of,Capitol,Berryessa Rd - E of  Capitol,18320,37.386943,-121.860048
2010-05-20,Meridian Av,S of,Hillsdale Av,Meridian Av - S of  Hillsdale Av,18312,37.26753,-121.904488
2005-05-23,Camden Av,E of,Camelia Dr,Camden Av - E of  Camelia Dr,18220,37.222094,-121.872381
2008-07-28,Bollinger Rd,W of,Hyde Av,Bollinger Rd - W of  Hyde Av,18150,37.31053,-122.011112
2006-02-06,Seventh St,S of,Virginia St,Seventh St - S of  Virginia St,18062,37.326853,-121.875023
2005-11-02,Mclaughlin Av,S of,Appian Ln,Mclaughlin Av - S of  Appian Ln,18045,37.338545,-121.859423
2006-06-07,Aborn Rd,E of,Montelena Dr,Aborn Rd - E of  Montelena Dr,17970,37.315545,-121.781003
2005-03-21,Hamilton Av,E of,Latimer Av,Hamilton Av - E of  Latimer Av,17961,37.29376,-121.978835
2005-05-10,Alum Rock Av,W of,Foss Av,Alum Rock Av - W of  Foss Av,17910,37.358965,-121.842544
2005-01-04,Quito Rd,S of,Mccoy Av,Quito Rd - S of  Mccoy Av,17892,37.275584,-121.994201
2006-02-08,Eleventh St,S of,Martha St,Eleventh St - S of  Martha St,17870,37.3274,-121.869707
2009-04-02,Ocala Av,E of,Ridgemont Dr,Ocala Av - E of  Ridgemont Dr,17870,37.343487,-121.81195
2010-05-25,Union Av,N of,Camden Av,Union Av - N of  Camden Av,17781,37.262034,-121.931422
2010-06-02,Story Rd,E of,White Rd,Story Rd - E of  White Rd,17618,37.356999,-121.817885
2005-11-08,Kiely Bl,S of,Albany Dr,Kiely Bl - S of  Albany Dr,17601,37.320733,-121.975338
2008-04-25,Eleventh St,S of,Bestor St,Eleventh St - S of  Bestor St,17580,37.326064,-121.86872
2005-03-14,Meridian Av,S of,San Carlos St,Meridian Av - S of  San Carlos St,17561,37.323095,-121.913749
2005-03-21,Hamilton Av,W of,Latimer Av,Hamilton Av - W of  Latimer Av,17547,37.293743,-121.979885
2010-06-02,Tully Rd,E of,White Rd,Tully Rd - E of  White Rd,17535,37.335682,-121.799912
2005-03-07,Senter Rd,N of,Ezie St,Senter Rd - N of  Ezie St,17422,37.286976,-121.827144
2007-06-25,Quito Rd,N of,Yorkton Wy,Quito Rd - N of  Yorkton Wy,17330,37.273514,-121.994045
2005-10-24,Ocala Av,W of,Ridgemont Dr,Ocala Av - W of  Ridgemont Dr,17209,37.343234,-121.812735
2005-11-02,Mclaughlin Av,N of,Appian Ln,Mclaughlin Av - N of  Appian Ln,17180,37.338929,-121.859826
2010-05-20,Leigh Av,N of,Hamilton,Leigh Av - N of  Hamilton,17117,37.295203,-121.922678
2010-06-02,Quimby Rd,E of,White Rd,Quimby Rd - E of  White Rd,17036,37.324759,-121.795826
2008-05-28,Prospect Rd,E of,Clarkspur Ln,Prospect Rd - E of  Clarkspur Ln,17000,37.293758,-122.020015
2009-03-10,Almaden Bl,N of,Park Av,Almaden Bl - N of  Park Av,16970,37.331231,-121.892825
2006-08-28,Jackson Av,S of,Mather Dr,Jackson Av - S of  Mather Dr,16960,37.362638,-121.847577
2009-04-28,Santa Teresa Bl,N of,San Ignacio Av,Santa Teresa Bl - N of  San Ignacio Av,16950,37.233289,-121.787598
2010-05-26,Camden Av,E of,Crystal Springs Dr,Camden Av - E of  Crystal Springs Dr,16834,37.222068,-121.873329
2006-01-31,Almaden Rd,S of,Malone Rd,Almaden Rd - S of  Malone Rd,16820,37.297292,-121.880326
2006-01-24,Santa Clara St,W of,Seventeenth St,Santa Clara St - W of  Seventeenth St,16750,37.343668,-121.874765
2005-01-18,Story Rd,W of,Lancelot Ln,Story Rd - W of  Lancelot Ln,16721,37.358594,-121.815531
2005-08-29,Bollinger Rd,E of,Alderbrook Ln,Bollinger Rd - E of  Alderbrook Ln,16690,37.310123,-122.017392
2005-11-01,Morrill Av,N of,Knights Bridge Rd,Morrill Av - N of  Knights Bridge Rd,16656,37.404493,-121.866886
2008-06-05,Prospect Rd,E of,Brookvale Dr,Prospect Rd - E of  Brookvale Dr,16630,37.29397,-122.02856
2007-08-08,Taylor St,E of,Second St,Taylor St - E of  Second St,16630,37.349816,-121.898672
2005-05-24,Coleman Rd,E of,Camden Av,Coleman Rd - E of  Camden Av,16590,37.226136,-121.903076
2006-06-12,Santa Clara St,E of,Twelvth St,Santa Clara St - E of  Twelvth St,16540,37.341773,-121.878763
2005-09-07,Seventh St,N of,Martha St,Seventh St - N of  Martha St,16519,37.325787,-121.874206
2006-02-07,Seventh St,N of,Margaret Wy,Seventh St - N of  Margaret Wy,16482,37.32842,-121.876164
2008-05-21,Prospect Rd,E of,Provincetown Dr,Prospect Rd - E of  Provincetown Dr,16460,37.293418,-122.010307
2006-06-12,Branham Ln,W of,Monterey Rd,Branham Ln - W of  Monterey Rd,16400,37.26653,-121.823283
2008-12-08,Julian St,E of,Twentyfifth St,Julian St - E of  Twentyfifth St,16390,37.35153,-121.870454
2006-07-10,Tully Rd,W of,Vista Verde Dr,Tully Rd - W of  Vista Verde Dr,16320,37.336638,-121.795053
2007-08-08,Taylor St,W of,Twelfth St,Taylor St - W of  Twelfth St,16250,37.354421,-121.888973
2006-02-08,Tenth St,S of,Martha St,Tenth St - S of  Martha St,16210,37.326943,-121.870797
2009-02-26,Market St,N of,Santa Clara St,Market St - N of  Santa Clara St,16190,37.336052,-121.8925
2006-04-03,Lincoln Av,S of,Pine Av,Lincoln Av - S of  Pine Av,15981,37.298021,-121.893147
2010-05-18,Lundy Av,S of,Murphy Av,Lundy Av - S of  Murphy Av,15942,37.386942,-121.885698
2005-09-26,Pearl Av,S of,Adamo Dr,Pearl Av - S of  Adamo Dr,15927,37.262715,-121.864661
2009-02-19,Mckay Dr,N of,Oakland Rd,Mckay Dr - N of  Oakland Rd,15900,37.386132,-121.898157
2005-07-20,Almaden Ex,S of,Orto St,Almaden Ex - S of  Orto St,15890,37.305458,-121.875893
2008-09-29,Cropley Av,W of,Camargo Dr,Cropley Av - W of  Camargo Dr,15890,37.406985,-121.874643
2010-06-02,White Rd,N of,Mckee Rd,White Rd - N of  Mckee Rd,15847,37.375713,-121.836076
2007-06-25,Quito Rd,S of,Yorkton Wy,Quito Rd - S of  Yorkton Wy,15810,37.272826,-121.993892
2010-05-19,Branham Ln,W of,Vistapark Dr,Branham Ln - W of  Vistapark Dr,15808,37.265755,-121.848775
2006-03-28,Bird Av,N of,Coe Av,Bird Av - N of  Coe Av,15706,37.315651,-121.897857
2007-04-24,Bollinger Rd,E of,Blaney Av,Bollinger Rd - E of  Blaney Av,15674,37.309734,-122.022751
2010-06-01,Pearl Av,S of,Capitol Expy,Pearl Av - S of  Capitol Expy,15622,37.27474,-121.870156
2007-03-12,Zanker Rd,S of,Component Dr,Zanker Rd - S of  Component Dr,15620,37.385522,-121.921243
2005-09-19,Fenian Dr,N of,Rincon Av,Fenian Dr - N of  Rincon Av,15563,37.282152,-121.976613
2007-08-09,Old Bayshore Hy,E of,First St,Old Bayshore Hy - E of  First St,15560,37.371238,-121.91734
2007-07-18,Pearl Av,N of,Lewiston Dr,Pearl Av - N of  Lewiston Dr,15340,37.273078,-121.869394
2005-11-01,Morrill Av,S of,Knights Bridge Rd,Morrill Av - S of  Knights Bridge Rd,15319,37.404179,-121.866657
2006-04-03,Lincoln Av,N of,Pine Av,Lincoln Av - N of  Pine Av,15301,37.298691,-121.893382
2006-02-08,Seventh St,S of,Martha St,Seventh St - S of  Martha St,15230,37.325323,-121.87386
2005-05-23,Camden Av,W of,Springpath Ln,Camden Av - W of  Springpath Ln,15200,37.221137,-121.883276
2005-09-01,Bollinger Rd,E of,Windsor St,Bollinger Rd - E of  Windsor St,15160,37.311072,-122.027351
2010-05-19,Alma Av,W of,Vine St,Alma Av - W of  Vine St,15112,37.312568,-121.879436
2010-05-20,King Rd,S of,Mabury Rd,King Rd - S of  Mabury Rd,15071,37.365773,-121.868413
2005-06-13,Meridian Av,N of,Oakglen Wy,Meridian Av - N of  Oakglen Wy,15048,37.232439,-121.884108
2009-05-12,Great Oaks Bl,E of,San Ignacio Av,Great Oaks Bl - E of  San Ignacio Av,15030,37.236077,-121.77693
2005-03-03,Bucknall Rd,N of,San Tomas Rd,Bucknall Rd - N of  San Tomas Rd,14997,37.284355,-121.976628
2008-09-17,King Rd,S of,San Antonio St,King Rd - S of  San Antonio St,14970,37.349456,-121.852273
2008-12-04,Hamilton Av,W of,Hamilton Wy,Hamilton Av - W of  Hamilton Wy,14890,37.294421,-121.910116
2005-01-18,Story Rd,E of,Lancelot Ln,Story Rd - E of  Lancelot Ln,14841,37.358824,-121.815191
2007-11-15,Blossom Av,N of,Canton Dr,Blossom Av - N of  Canton Dr,14840,37.24831,-121.839781
2010-05-19,Yerba Buena Rd,E of,Mclaughlin Av,Yerba Buena Rd - E of  Mclaughlin Av,14836,37.291441,-121.814973
2006-01-31,Seven Trees Bl,N of,El Cajon Dr,Seven Trees Bl - N of  El Cajon Dr,14830,37.283898,-121.833588
2007-01-23,Race St,N of,Park Av,Race St - N of  Park Av,14818,37.326381,-121.911605
2009-02-10,First St,N of,Metro Dr,First St - N of  Metro Dr,14770,37.369876,-121.915736
2005-02-08,Keyes St,E of,Third St,Keyes St - E of  Third St,14725,37.320997,-121.875684
2010-06-02,Silver Creek Valley Rd,S of,Yerba Buena Rd,Silver Creek Valley Rd - S of  Yerba Buena Rd,14680,37.295734,-121.784683
2007-03-12,Zanker Rd,N of,Component Dr,Zanker Rd - N of  Component Dr,14673,37.38621,-121.92198
2005-06-13,Meridian Av,S of,Oakglen Wy,Meridian Av - S of  Oakglen Wy,14672,37.231924,-121.884107
2009-03-10,Market St,N of,Post St,Market St - N of  Post St,14570,37.334854,-121.891599
2010-05-19,Lincoln Av,N of,Pedro St,Lincoln Av - N of  Pedro St,14562,37.313725,-121.905072
2009-05-20,Taylor St,W of,Laurel St,Taylor St - W of  Laurel St,14530,37.339554,-121.914857
2008-09-29,Capitol Av,S of,Old Post Wy,Capitol Av - S of  Old Post Wy,14430,37.39233,-121.866426
2005-03-07,Senter Rd,S of,Ezie St,Senter Rd - S of  Ezie St,14420,37.286633,-121.826853
2005-04-21,Lundy Av,S of,Commerce Dr,Lundy Av - S of  Commerce Dr,14370,37.393132,-121.890588
2005-02-14,Park Av,S of,Naglee Av,Park Av - S of  Naglee Av,14295,37.333396,-121.923382
2006-03-29,Mabury Rd,E of,Lenfest Rd,Mabury Rd - E of  Lenfest Rd,14250,37.365569,-121.871284
2008-12-04,Hamilton Av,E of,Hamilton Wy,Hamilton Av - E of  Hamilton Wy,14230,37.294207,-121.909309
2006-11-15,Latimer Av,N of,San Tomas Rd,Latimer Av - N of  San Tomas Rd,14100,37.29124,-121.976602
2006-11-07,Senter Rd,W of,Seven Trees Bl,Senter Rd - W of  Seven Trees Bl,14068,37.278103,-121.832894
2007-06-28,San Tomas Aquino Rd,E of,Saratoga Av,San Tomas Aquino Rd - E of  Saratoga Av,13930,37.302724,-121.978712
2005-07-20,Sixth St,S of,Martha St,Sixth St - S of  Martha St,13930,37.324977,-121.875025
2010-06-01,Snell Av,N of,Santa Teresa Bl,Snell Av - N of  Santa Teresa Bl,13880,37.237724,-121.83062
2007-04-24,Bollinger Rd,W of,Blaney Av,Bollinger Rd - W of  Blaney Av,13864,37.310019,-122.023702
2006-07-13,Hillsdale Av,W of,Pearl Av,Hillsdale Av - W of  Pearl Av,13860,37.275324,-121.870975
2010-05-18,Cropley Av,W of,Morrill Av,Cropley Av - W of  Morrill Av,13852,37.408823,-121.870882
2006-02-07,Margaret Wy,E of,Seventh St,Margaret Wy - E of  Seventh St,13736,37.328395,-121.875534
2009-03-19,Seventh St,S of,Reed St,Seventh St - S of  Reed St,13710,37.329863,-121.877241
2008-11-06,Morrill Av,N of,Via Montez,Morrill Av - N of  Via Montez,13690,37.410964,-121.871671
2008-05-28,Kiely Bl,N of,Albany Dr,Kiely Bl - N of  Albany Dr,13630,37.321518,-121.975554
2010-05-26,Meridian Av,S of,Blossom Hill,Meridian Av - S of  Blossom Hill,13618,37.242932,-121.888942
2006-10-12,Santa Clara St,E of,Sixth St,Santa Clara St - E of  Sixth St,13590,37.338834,-121.884953
2005-03-16,Coleman Rd,W of,Porto Alegre Dr,Coleman Rd - W of  Porto Alegre Dr,13580,37.241117,-121.880363
2008-05-06,Blossom Hill Rd,E of,Snell Av,Blossom Hill Rd - E of  Snell Av,13510,37.251302,-121.830149
2005-08-22,Tasman Dr,E of,Vista Montana,Tasman Dr - E of  Vista Montana,13490,37.410817,-121.954991
2010-06-01,Lincoln Av,S of,Curtner Av,Lincoln Av - S of  Curtner Av,13438,37.289665,-121.887561
2005-03-03,Bucknall Rd,S of,San Tomas Rd,Bucknall Rd - S of  San Tomas Rd,13405,37.282936,-121.976634
2005-09-27,White Rd,S of,Mabury Rd,White Rd - S of  Mabury Rd,13299,37.383301,-121.841854
2010-05-20,Hedding St,E of,The Alameda,Hedding St - E of  The Alameda,13298,37.341059,-121.922647
2005-02-15,Tenth St,S of,Old Bayshore Hy,Tenth St - S of  Old Bayshore Hy,13296,37.366143,-121.900007
2007-07-12,Piedmont Rd,N of,Penitencia Creek Rd,Piedmont Rd - N of  Penitencia Creek Rd,13260,37.391346,-121.842804
2006-07-06,Almaden Rd,N of,Curtner Av,Almaden Rd - N of  Curtner Av,13240,37.29263,-121.879973
2006-01-30,San Carlos St,W of,Third St,San Carlos St - W of  Third St,13240,37.332318,-121.88538
2006-01-30,San Carlos St,E of,Third St,San Carlos St - E of  Third St,13120,37.332668,-121.884646
2007-01-23,Race St,S of,Park Av,Race St - S of  Park Av,13084,37.32559,-121.911547
2010-06-01,Blossom Hill Rd,W of,Union Av,Blossom Hill Rd - W of  Union Av,12975,37.236136,-121.931681
2008-11-06,Morrill Av,S of,Via Montez,Morrill Av - S of  Via Montez,12940,37.410675,-121.871451
2007-07-18,Piedmont Rd,N of,Sierra Rd,Piedmont Rd - N of  Sierra Rd,12930,37.400162,-121.84711
2009-03-10,Almaden Bl,N of,Convention Center,Almaden Bl - N of  Convention Center,12920,37.328949,-121.890946
2005-02-14,Naglee Av,E of,Park Av,Naglee Av - E of  Park Av,12904,37.33414,-121.923803
2007-03-14,Hillsdale Av,E of,Narvaez Av,Hillsdale Av - E of  Narvaez Av,12880,37.279923,-121.864251
2009-03-10,Almaden Bl,S of,Post St,Almaden Bl - S of  Post St,12870,37.332921,-121.894094
2005-04-21,Lundy Av,N of,Commerce Dr,Lundy Av - N of  Commerce Dr,12799,37.395692,-121.890834
2006-03-23,Payne Av,E of,Eden Av,Payne Av - E of  Eden Av,12751,37.301539,-121.953881
2009-04-28,Santa Teresa Bl,S of,Bernal Rd,Santa Teresa Bl - S of  Bernal Rd,12740,37.226642,-121.776485
2007-03-14,Hillsdale Av,W of,Narvaez Av,Hillsdale Av - W of  Narvaez Av,12680,37.27984,-121.864602
2006-07-06,Race St,N of,Garland Av,Race St - N of  Garland Av,12670,37.329956,-121.911863
2007-04-03,Newhall St,E of,Monroe St,Newhall St - E of  Monroe St,12650,37.337703,-121.942721
2006-05-10,Aborn Rd,W of,Ruby Av,Aborn Rd - W of  Ruby Av,12597,37.316318,-121.775947
2008-03-05,Thirteenth St,N of,Mission St,Thirteenth St - N of  Mission St,12571,37.357443,-121.889562
2008-11-21,Curtner Av,W of,Heritage Dr,Curtner Av - W of  Heritage Dr,12570,37.279245,-121.913951
2006-10-11,Forest Av,E of,Di Salvo Av,Forest Av - E of  Di Salvo Av,12570,37.327061,-121.936858
2005-01-27,Jackson Av,W of,San Antonio St,Jackson Av - W of  San Antonio St,12560,37.355812,-121.840903
2010-05-20,Jackson Av,S of,Mabury,Jackson Av - S of  Mabury,12556,37.372834,-121.857634
2005-05-04,Zanker Rd,N of,River Oaks Pw,Zanker Rd - N of  River Oaks Pw,12461,37.405846,-121.934638
2010-06-03,San Tomas Aquino Rd,S of,Hamilton Park Dr,San Tomas Aquino Rd - S of  Hamilton Park Dr,12445,37.29524,-121.976641
2005-08-01,Mabury Rd,E of,Cedarville Ln,Mabury Rd - E of  Cedarville Ln,12430,37.37794,-121.85308
2007-03-01,San Antonio St,E of,Scharff Av,San Antonio St - E of  Scharff Av,12405,37.354607,-121.842685
2006-11-07,Senter Rd,E of,Seven Trees Bl,Senter Rd - E of  Seven Trees Bl,12381,37.278109,-121.831818
2005-01-10,Willow St,W of,Delmas Av,Willow St - W of  Delmas Av,12378,37.311988,-121.894164
2010-05-20,Mabury Rd,E of,King Rd,Mabury Rd - E of  King Rd,12371,37.367382,-121.868508
2005-03-29,Gish Rd,S of,Nimitz Fr,Gish Rd - S of  Nimitz Fr,12349,37.367614,-121.900057
2006-06-13,Payne Av,W of,Stockbridge Dr,Payne Av - W of  Stockbridge Dr,12340,37.30103,-121.970665
2005-02-14,Park Av,N of,Naglee Av,Park Av - N of  Naglee Av,12279,37.334399,-121.92459
2007-09-10,San Tomas Aquino Rd,S of,San Tomas Rd,San Tomas Aquino Rd - S of  San Tomas Rd,12250,37.293223,-121.976617
2006-02-15,San Antonio St,E of,Sunset Av,San Antonio St - E of  Sunset Av,12240,37.352824,-121.846439
2006-03-28,Bird Av,S of,Coe Av,Bird Av - S of  Coe Av,12226,37.315122,-121.897879
2005-01-10,Willow St,E of,Delmas Av,Willow St - E of  Delmas Av,12214,37.312307,-121.893614
2005-02-08,Keyes St,W of,Third St,Keyes St - W of  Third St,12213,37.320571,-121.876588
2007-04-03,Newhall St,W of,Monroe St,Newhall St - W of  Monroe St,12200,37.337677,-121.944797
2008-02-01,Taylor St,E of,Ninth St,Taylor St - E of  Ninth St,12180,37.35328,-121.891373
2005-03-14,Meridian Av,N of,San Carlos St,Meridian Av - N of  San Carlos St,12142,37.323903,-121.913748
